iter,elapsed_time,obj,gradnorm,eval,grad,L
93,5.946704420057358,0.03173046080692862,0.00021116462502249604,0,108,0.0009098573697095552
94,6.001676461048191,0.03168267698838482,0.00021172539181362105,0,109,0.0008188716327385997
95,6.0595259610418,0.031637089827006755,0.0002895740555238362,0,110,0.0007369844694647398
96,6.231384836049983,0.03161923615259586,0.00021546006007554185,0,113,0.0026531440900730632
97,6.28851654403843,0.031604009184316204,0.0002023125337026912,0,114,0.002387829681065757
98,6.345960044040112,0.03158790047819469,0.00019806106791460417,0,115,0.0021490467129591812
99,6.401022877034848,0.03157048009759159,0.00019618598522997926,0,116,0.0019341420416632631
100,6.457614294035011,0.03155165225611119,0.0001966533218682849,0,117,0.0017407278374969369
101,6.513612294031191,0.03153153611676064,0.00020423160910158867,0,118,0.0015666550537472433
102,6.570054878029623,0.031511231646167245,0.0002420616505469264,0,119,0.001409989548372519
103,6.681383461036603,0.03149762182034197,0.00020908291399049942,0,121,0.0025379811870705343
104,6.737463961049798,0.031484116296529564,0.00020076829576205795,0,122,0.002284183068363481
105,6.794279420049861,0.03146982271995366,0.0002023135547844414,0,123,0.002055764761527133
106,6.849555753055029,0.03145480246715788,0.00021726606955505882,0,124,0.0018501882853744196
107,6.90605154405057,0.03144037330344369,0.00027022068468101555,0,125,0.0016651694568369777
108,7.018343669042224,0.031427799147047866,0.0002019053948664073,0,127,0.00299730502230656
109,7.072663461032789,0.03141699410938255,0.00018695046709464285,0,128,0.002697574520075904
110,7.128742211032659,0.031405634196383786,0.00018310491069087887,0,129,0.0024278170680683137
111,7.1853047940385295,0.03139337829727503,0.00018422654176717461,0,130,0.002185035361261482
112,7.241652336044353,0.03138025478468148,0.0001935228343627984,0,131,0.001966531825135334
113,7.296327044052305,0.031366957921333004,0.00022903660916047782,0,132,0.0017698786426218005
114,7.406293960040784,0.03135723209671016,0.00018597296673343307,0,134,0.003185781556719241
115,7.4612688770430395,0.03134804752187608,0.00017636331144865673,0,135,0.002867203401047317
116,7.517752502040821,0.03133822373646532,0.00017393140290682682,0,136,0.0025804830609425853
117,7.572931877046358,0.031327555154183034,0.00017514201091762077,0,137,0.002322434754848327
118,7.628589377054595,0.03131606019978495,0.00018314653072737158,0,138,0.0020901912793634945
119,7.684847127049579,0.031304262075667395,0.00021417970654668615,0,139,0.001881172151427145
120,7.7989914180507185,0.03129596968764839,0.00017833619185475528,0,141,0.0033861098725688613
121,7.852372751047369,0.03128793532614165,0.00017018458714630278,0,142,0.0030474988853119753
122,7.908524209051393,0.03127930044975214,0.00016826714817892342,0,143,0.002742748996780778
123,7.966160625059274,0.03126990313892309,0.00016982292206317752,0,144,0.0024684740971027
124,8.022174083060236,0.03125976759245109,0.00017827688424351389,0,145,0.0022216266873924303
125,8.076069458053098,0.031249390948455743,0.00021037615729225384,0,146,0.0019994640186531873
126,8.184648208043654,0.031241997342320728,0.00017442153491810137,0,148,0.0035990352335757373
127,8.241176708048442,0.03123485609468557,0.00016615852757845474,0,149,0.0032391317102181635
128,8.296675624049385,0.031227185085132097,0.00016436486151885359,0,150,0.002915218539196347
129,8.351325540046673,0.031218835932823437,0.0001663100708007059,0,151,0.0026236966852767126
130,8.406531374057522,0.031209841031324875,0.00017573671621779014,0,152,0.0023613270167490413
131,8.461542124059633,0.03120070389194194,0.0002104027012893489,0,153,0.0021251943150741373
132,8.570481165064848,0.03119397304769036,0.0001717583488948546,0,155,0.003825349767133447
133,8.625756123059546,0.031187564816653347,0.00016287430324462117,0,156,0.0034428147904201024
134,8.681788623056491,0.03118069624182777,0.00016099117766920205,0,157,0.0030985333113780923
135,8.73839812305232,0.031173220237913638,0.00016303405369362168,0,158,0.002788679980240283
136,8.793680164046236,0.031165164648211674,0.00017262492533593244,0,159,0.0025098119822162548
137,8.849033497055643,0.03115698568648646,0.00020705842468248504,0,160,0.0022588307839946295
138,8.962044831045205,0.031150881069958142,0.00016774150492734202,0,162,0.0040658954111903334
139,9.018925039039459,0.03114510844113012,0.0001588790549857868,0,163,0.0036593058700713
140,9.074922248037183,0.031138918124555433,0.0001569055496432463,0,164,0.00329337528306417
141,9.1307359560451,0.03113216644439782,0.000158434212656829,0,165,0.002964037754757753
142,9.18920641404111,0.031124855725574274,0.00016616175469122521,0,166,0.0026676339792819775
143,9.244585122040007,0.031117294568749614,0.0001939386700059869,0,167,0.00240087058135378
144,9.356781622031122,0.031111919928796663,0.0001605709776457056,0,169,0.004321567046436804
145,9.413003164037946,0.031106726757286495,0.00015345450611639944,0,170,0.003889410341793124
146,9.469410580029944,0.031101119004606274,0.00015171929848994644,0,171,0.0035004693076138116
147,9.526513289034483,0.03109497317110352,0.00015231177707041553,0,172,0.0031504223768524303
148,9.5804311640386,0.03108825820738392,0.0001565114546045124,0,173,0.0028353801391671875
